,strasbourg_metropole_quotient_familial,uid,cout_cantine
2682,641,55500641,29.25
1225,420,55600420,582.65
2452,579,55700579,0.0
299,576,55800576,291.6
2502,456,55900456,277.35
492,1999,56001999,856.80005
12721,471,56100471,290.25
91,395,56200395,390.0
661,378,56300378,192.0
826,417,56400417,260.15002
4350,680,56500680,357.5
5298,422,56600422,288.1
166,590,56700590,348.30002
2379,1770,56801770,831.60004
1656,880,56900880,572.0
8162,1120,57001120,696.0
11227,337,57100337,93.0
575,430,57200430,578.35004
484,606,57300606,367.2
2407,263,57400263,408.0
10153,1086,57501086,110.200005
422,539,57600539,116.100006
423,687,57600687,377.0
6073,593,57700593,367.2
8601,1517,57801517,788.80005
12912,386,57900386,196.5
1509,492,58000492,131.15001
6928,592,58100592,45.9
6793,452,58200452,178.45001
3802,321,58300321,48.0
140,577,58400577,526.5
26,1069,58501069,0.0
412,272,58600272,292.5
1658,506,58700506,285.95
3424,306,58800306,192.0
6399,399,58900399,184.5
34,749,59000749,338.19998
5618,703,59100703,91.0
2098,2361,59202361,13.8
7274,1855,59301855,44.100002
8563,417,59400417,0.0
6209,701,59500701,442.0
3290,341,59600341,187.5
1906,302,59700302,78.0
2667,481,59800481,1167.4501
1078,785,59900785,254.59999
1583,2258,60002258,648.60004
736,875,60100875,26.400002
1569,1579,60201579,856.80005
5925,351,60300351,204.0
6791,670,60400670,419.25
448,654,60500654,1192.75
516,380,60600380,318.0
6418,347,60700347,397.5
4544,1339,60801339,788.80005
763,448,60900448,126.850006
8406,601,61000601,367.2
203,2237,61102237,938.4
4208,661,61200661,435.5
536,482,61300482,245.1
537,628,61300628,481.0
237,609,61400609,54.0
5037,253,61500253,192.0
2147,790,61600790,133.0
2491,604,61700604,356.4
9446,1895,61801895,844.2
13335,305,61900305,58.5
1373,99999,62099999,876.3
1424,257,62100257,408.0
7226,2187,62202187,483.0
3418,4443,62304443,931.5
2145,523,62400523,367.2
5924,1427,62501427,754.0
672,684,62600684,97.5
5137,1775,62701775,825.30005
1057,325,62800325,121.5
732,417,62900417,66.65
152,784,63000784,292.6
1130,2439,63102439,1759.5
2934,1279,63201279,0.0
80,312,63300312,406.5
3245,386,63400386,0.0
3597,320,63500320,202.5
4886,617,63600617,0.0
6173,488,63700488,17.2
831,1558,63801558,25.2
3350,673,63900673,3.25
4103,547,64000547,731.7
9642,567,64100567,118.8
470,240,64200240,186.0
3324,829,64300829,154.0
4438,861,64400861,897.60004
5523,682,64500682,9.75
2100,1395,64601395,725.0
1565,398,64700398,199.5
5976,1558,64801558,831.60004
2516,947,64900947,40.8
1582,1577,65001577,579.60004
1194,886,65100886,585.2
2195,2022,65202022,0.0
1445,519,65300519,356.4
6063,1297,65401297,765.60004
585,409,65500409,31.5
556,262,65600262,195.0
5425,2164,65702164,855.60004
2326,1378,65801378,1148.4
7767,390,65900390,192.0
2416,692,66000692,858.0
2521,2295,66102295,324.30002
2178,982,66200982,652.8
1921,1796,66301796,831.60004
1094,1078,66401078,29.0
929,303,66500303,342.0
5578,924,66600924,357.0
1997,883,66700883,572.0
2177,1446,66801446,29.0
7385,1204,66901204,556.80005
3784,1365,67001365,585.80005
3785,99999,67099999,186.3
4125,7705,67107705,883.2
2295,1030,67201030,71.4
2639,752,67300752,273.59998
2709,463,67400463,64.5
15035,546,67500546,318.6
3009,579,67600579,43.2
3467,976,67700976,316.19998
954,1581,67801581,434.7
201,306,67900306,0.0
823,1122,68001122,0.0
44,1680,68101680,441.0
3643,311,68200311,55.5
5674,459,68300459,292.40002
395,1968,68401968,781.2
1572,2722,68502722,34.5
76,278,68600278,174.0
6188,2812,68702812,572.7
3519,559,68800559,288.90002
2858,333,68900333,190.5
10412,603,69000603,332.1
7585,364,69100364,406.5
10675,441,69200441,129.0
258,641,69300641,1046.5
2057,1225,69401225,1432.6001
9969,888,69500888,369.6
8587,719,69600719,406.25
1016,618,69700618,129.6
886,2022,69802022,831.60004
514,435,69900435,66.65
443,632,70000632,3.25
1545,576,70100576,264.6
4430,581,70200581,0.0
2968,843,70300843,1196.8
377,769,70400769,3.8
2171,841,70500841,404.80002
1543,1488,70601488,52.2
2881,495,70700495,184.90001
28,1409,70801409,243.6
1851,1369,70901369,788.80005
4564,1043,71001043,365.40002
2646,250,71100250,204.0
570,317,71200317,7.5
13280,703,71300703,100.75
13281,829,71300829,136.40001
1561,310,71400310,64.5
5922,697,71500697,416.0
4311,565,71600565,356.4
4397,607,71700607,367.2
5823,1435,71801435,748.2
12438,643,71900643,6.5
2701,361,72000361,384.0
15439,501,72100501,0.0
1715,5214,72205214,938.4
48,266,72300266,204.0
5774,332,72400332,156.0
2223,836,72500836,308.0
11723,658,72600658,188.5
340,397,72700397,199.5
4637,99999,72899999,834.9
4284,843,72900843,246.40001
4285,1251,72901251,266.80002
6212,482,73000482,98.90001
5544,1050,73101050,150.8
12496,857,73200857,299.2
6269,954,73300954,469.19998
3552,274,73400274,97.5
2325,609,73500609,205.20001
8568,307,73600307,204.0
1795,1135,73701135,788.80005
1739,1732,73801732,844.2
2897,99999,73999999,897.0
2659,535,74000535,683.1
8361,694,74100694,438.75
1705,631,74200631,289.25
7617,485,74300485,8.6
9982,646,74400646,139.75
2085,1484,74501484,777.2
497,334,74600334,0.0
4104,723,74700723,516.8
4610,239,74800239,160.5
4611,473,74800473,27.95
7333,99999,74999999,862.5
2474,688,75000688,442.0
1387,702,75100702,65.0
1593,596,75200596,194.40001
2225,2694,75302694,165.6
7163,530,75400530,345.6
2384,506,75500506,417.1
4400,335,75600335,40.5
1187,1365,75701365,1566.0
12541,1833,75801833,844.2
12995,847,75900847,536.8
3165,1376,76001376,0.0
8388,99999,76199999,883.2
2,99999,76299999,241.5
6391,439,76300439,275.2
2660,1549,76401549,207.90001
10139,437,76500437,288.1
4618,359,76600359,376.5
3154,914,76700914,294.80002
2498,1747,76801747,825.30005
1037,295,76900295,37.5
3,392,77000392,187.5
4,99999,77099999,6.9
4455,587,77100587,288.9
1359,1077,77201077,765.60004
9264,1401,77301401,156.6
1520,655,77400655,107.25
3437,1335,77501335,742.4
12347,337,77600337,115.5
2637,396,77700396,84.0
4354,866,77800866,0.0
3686,99999,77999999,220.8
1663,1189,78001189,765.60004
6613,1800,78101800,850.5
11149,870,78200870,101.200005
11036,634,78300634,227.5
5882,1559,78401559,113.4
11466,553,78500553,364.5
5,1256,78601256,1258.6001
4682,990,78700990,0.0
560,504,78800504,565.4501
3031,495,78900495,227.90001
6022,1108,79001108,591.60004
5494,326,79100326,1.5
5495,696,79100696,16.25
4959,294,79200294,178.5
8081,1310,79301310,203.0
1966,735,79400735,30.4
1113,433,79500433,477.30005
3749,473,79600473,6.4500003
2750,652,79700652,104.0
8475,525,79800525,118.8
1601,329,79900329,387.0
2337,741,80000741,114.0
1605,417,80100417,66.65
1618,579,80200579,313.2
3874,488,80300488,290.25
72,356,80400356,229.5
12010,703,80500703,364.0
5321,279,80600279,204.0
12099,389,80700389,141.0
10408,252,80800252,196.5
9579,525,80900525,364.5
985,1092,81001092,1577.6001
6799,886,81100886,589.60004
31,2133,81202133,469.2
3799,557,81300557,10.8
1023,336,81400336,187.5
2702,1125,81501125,423.40002
6945,826,81600826,594.0
2438,560,81700560,0.0
4076,342,81800342,300.0
40,2496,81902496,1821.6
2937,747,82000747,414.19998
2938,99999,82099999,158.7
209,962,82100962,1239.3
1001,1094,82201094,783.0
806,1235,82301235,765.60004
33,397,82400397,202.5
168,1744,82501744,6.3
13366,1171,82601171,429.2
2761,866,82700866,0.0
14338,651,82800651,386.75
1929,1247,82901247,469.80002
1508,525,83000525,35.100002
663,479,83100479,285.95
713,1772,83201772,850.5
280,1829,83301829,189.0
2855,442,83400442,438.60004
63,398,83500398,34.5
92,1588,83601588,850.5
3502,613,83700613,148.5
5871,358,83800358,195.0
5872,444,83800444,376.25
1815,1240,83901240,585.80005
46,1290,84001290,185.6
8993,506,84100506,169.85
845,979,84200979,765.0
104,422,84300422,427.85004
4396,317,84400317,178.5
260,1995,84501995,831.60004
234,678,84600678,513.5
716,643,84700643,273.0
6158,678,84800678,429.0
6838,2285,84902285,931.5
3416,731,85000731,505.4
842,2302,85102302,738.3
1884,1324,85201324,678.60004
3736,698,85300698,442.0
2432,99999,85499999,938.4
320,570,85500570,0.0
592,415,85600415,574.05005
8145,266,85700266,154.5
659,460,85800460,70.950005
987,1269,85901269,585.80005
11709,567,86000567,340.2
712,1117,86101117,736.60004
5031,315,86200315,33.0
157,339,86300339,66.0
4231,1416,86401416,759.80005
2799,963,86500963,652.8
7077,707,86600707,425.75
629,981,86700981,56.1
4380,560,86800560,342.90002
1933,753,86900753,368.6
4933,788,87000788,383.8
9569,648,87100648,549.25
3644,560,87200560,315.9
3677,633,87300633,13.0
5156,377,87400377,204.0
2825,350,87500350,204.0
2923,318,87600318,123.0
7014,350,87700350,376.5
7202,633,87800633,403.0
8359,427,87900427,0.0
249,2070,88002070,903.9
2168,989,88100989,663.0
9991,548,88200548,89.1
9992,640,88200640,240.5
364,1154,88301154,1432.6001
6724,300,88400300,405.0
85,1579,88501579,1486.8
1493,753,88600753,117.799995
1494,1063,88601063,377.0
2401,802,88700802,323.0
4656,675,88800675,123.5
1060,648,88900648,269.75
922,2187,89002187,938.4
809,690,89100690,442.0
1979,1631,89201631,856.80005
1476,668,89300668,299.0
1477,718,89300718,273.0
1514,1744,89401744,1713.6001
317,99999,89599999,910.8
3575,755,89600755,387.6
604,406,89700406,205.5
4394,761,89800761,501.6
13094,360,89900360,70.5
13095,462,89900462,12.900001
7383,1122,90001122,104.4
3997,791,90100791,516.8
1552,2092,90202092,276.0
8246,760,90300760,490.19998
9326,330,90400330,97.5
1241,1790,90501790,844.2
5275,1691,90601691,239.40001
2757,1013,90701013,448.8
5725,1394,90801394,777.2
7586,409,90900409,34.5
347,651,91000651,442.0
2116,256,91100256,204.0
224,638,91200638,438.75
462,676,91300676,22.75
5569,555,91400555,348.3
2198,863,91500863,0.0
2148,748,91600748,0.0
691,269,91700269,153.0
57,456,91800456,819.15
3931,987,91900987,0.0
5789,1865,92001865,825.30005
2892,1003,92101003,0.0
5384,682,92200682,354.25
658,1066,92301066,330.6
1112,395,92400395,211.5
2634,255,92500255,88.5
1015,1246,92601246,539.4
5635,370,92700370,19.5
1034,829,92800829,4.4
7898,663,92900663,84.5
7563,1568,93001568,850.5
4135,661,93100661,6.5
1172,720,93200720,204.75
1173,726,93200726,11.4
3341,714,93300714,399.75
15887,626,93400626,412.75
1179,727,93500727,855.0
11287,739,93600739,513.0
3129,4462,93704462,1856.1001
978,807,93800807,1231.2
485,460,93900460,565.4501
173,304,94000304,327.0
5557,991,94100991,300.9
2334,3234,94203234,931.5
1650,1324,94301324,788.80005
1232,1155,94401155,5.8
7987,2167,94502167,903.9
1551,408,94600408,147.0
58,239,94700239,6.0
6306,313,94800313,201.0
2749,1666,94901666,856.80005
9156,575,95000575,367.2
5728,822,95100822,558.8
368,310,95200310,168.0
2493,204,95300204,121.5
5633,787,95400787,414.19998
8846,676,95500676,438.75
2745,1342,95601342,290.0
1185,540,95700540,361.80002
2987,738,95800738,368.6
610,6683,95906683,938.4
9321,650,96000650,0.0
5484,657,96100657,269.75
1548,472,96200472,550.4
2904,2775,96302775,614.10004
1468,703,96400703,354.25
1866,1170,96501170,788.80005
3052,442,96600442,0.0
13394,1788,96701788,850.5
1534,1243,96801243,469.80002
4520,1458,96901458,765.60004
3875,461,97000461,277.35
649,443,97100443,242.95001
4095,1099,97201099,632.2
4044,890,97300890,598.4
2911,1367,97401367,742.4
10518,1463,97501463,783.0
11155,596,97600596,221.40001
4480,615,97700615,359.1
5927,789,97800789,1014.6
4410,239,97900239,163.5
6136,1181,98001181,0.0
3510,714,98100714,13.0
1285,642,98200642,793.0
7966,665,98300665,299.0
2915,1397,98401397,214.6
5058,442,98500442,270.90002
5090,668,98600668,0.0
1372,3702,98703702,186.3
4226,745,98800745,505.4
2579,12936,98912936,476.1
298,501,99000501,283.80002
5433,779,99100779,269.8
656,355,99200355,324.0
1887,1013,99301013,606.89996
5652,99999,99499999,96.6
5907,783,99500783,421.8
1800,406,99600406,321.0
10571,853,99700853,484.0
1368,453,99800453,281.65002
16446,1311,99901311,464.0
1374,2372,100002372,924.60004
1563,527,100100527,564.30005
6203,1092,100201092,127.600006
1519,1112,100301112,1479.0001
1400,558,100400558,137.7
1858,661,100500661,123.5
832,622,100600622,149.5
833,779,100600779,858.8
3251,848,100700848,4.4
2555,679,100800679,451.75
5265,2756,100902756,938.4
4799,964,101000964,693.6
4356,936,101100936,117.299995
459,504,101200504,75.25
