Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
1848;829;1247;Repas Standard;81;;Repas Standard
1849;1925;2070;Repas Standard;136;;Repas Standard
1850;2618;1261;Repas Standard;14;oui;Repas Standard
1850;2618;1597;Repas Standard;17;;Repas Standard
1851;869;753;Repas Halal;97;;Repas Standard
1852;1142;407;Repas Halal;136;;Repas Standard
1853;3146;353;Repas Halal;136;;Repas Standard
1854;3148;537;Repas Standard;77;oui;Repas Standard
1854;3148;1170;Repas Standard;55;;Repas Standard
1855;3149;2387;Repas Standard;1;oui;Repas Standard
1855;3149;999999;Repas Standard;1;;Repas Standard
1856;3149;2387;Repas Standard;37;oui;Repas Standard
1856;3149;999999;Repas Standard;97;;Repas Standard
1857;3150;702;Repas Halal;127;oui;Repas Standard
1857;3150;999999;Repas Halal;9;;Repas Standard
1858;3155;74;Repas Standard;131;;Repas Standard
1859;3156;1948;Panier;64;oui;Panier
1859;3156;2145;Panier;70;;Panier
1860;1727;602;Repas Halal;135;;Repas Standard
1861;2236;562;Repas Halal;17;;Repas Standard
1862;2236;562;Repas Halal;16;;Repas Standard
1863;3158;1269;Repas Halal;135;;Repas Standard
1864;1767;1428;Repas Standard;132;;Repas Standard
1865;2411;1014;Repas Standard;5;;Repas Standard
1866;3159;911;Repas Standard;99;;Repas Standard
1867;39;463;Repas Standard;23;;Repas Standard
1868;3160;548;Repas Halal;127;;Repas Standard
1869;3161;2176;Repas Standard;135;;Repas Standard
1870;3162;628;Repas Halal;68;;Repas Standard
1871;3163;1293;Repas Standard;16;;Repas Standard
1872;3164;999999;Repas Standard;134;;Repas Standard
1873;3165;357;Repas Halal;128;;Repas Standard
1874;3166;627;Repas Halal;130;;Repas Standard
1875;3167;2806;Repas Standard;136;;Repas Standard
1876;3168;727;Repas Halal;131;;Repas Standard
1877;3134;2040;Repas Standard;79;;Repas Standard
1878;6477;258;Repas Halal;78;;Repas Standard
1879;794;735;Repas Halal;5;;Repas Standard
1880;3171;521;Repas Halal;104;;Repas Standard
1881;3171;521;Repas Halal;104;;Repas Standard
1882;3172;394;Repas Standard;50;;Repas Standard
1883;2326;707;Repas Standard;136;;Repas Standard
1884;3173;603;Repas Standard;113;;Repas Standard
1885;3175;999999;Repas Standard;74;;Repas Standard
1886;3176;865;Repas Standard;40;;Repas Standard
1887;3177;287;Repas Standard;136;;Repas Standard
1888;3178;770;Repas Standard;132;;Repas Standard
1889;3179;1078;Repas Halal;136;;Repas Standard
1890;1874;2639;Repas Standard;134;;Repas Standard
1891;3180;573;Repas Standard;136;;Repas Standard
1892;892;1631;Repas Standard;136;;Repas Standard
1893;3181;1433;Repas Standard;67;;Repas Standard
1894;3181;1433;Repas Standard;67;;Repas Standard
1895;3182;1582;Repas Végétarien;47;;Repas vgtarien
1896;3183;1315;Repas Standard;70;;Repas Standard
1897;3184;1096;Repas Standard;136;;Repas Standard
1898;1449;1281;Repas Standard;78;;Repas Standard
1899;3185;1983;Repas Standard;52;;Repas Standard
1900;1963;563;Repas Halal;28;;Repas Standard
1901;1963;563;Repas Halal;27;;Repas Standard
1902;3186;647;Repas Standard;130;;Repas Standard
1903;3187;926;Repas Standard;1;;Repas Standard
1904;3188;3248;Repas Standard;136;;Repas Standard
1905;3188;3248;Repas Standard;136;;Repas Standard
1906;3189;2830;Repas Standard;134;;Repas Standard
1907;1972;1518;Repas Standard;117;;Repas Standard
1908;4745;388;Repas Halal;97;;Repas Standard
1909;3190;1065;Repas Halal;131;;Repas Standard
1910;667;883;Repas Standard;130;;Repas Standard
1911;3192;1831;Repas Standard;136;;Repas Standard
1912;3193;999999;Repas Standard;2;;Repas Standard
1913;3194;570;Repas Standard;136;;Repas Standard
1914;3195;2823;Repas Standard;68;;Repas Standard
1915;3198;688;Repas Standard;136;;Repas Standard
1916;4490;718;Repas Standard;136;;Repas Standard
1917;3199;999999;Repas Standard;136;;Repas Standard
1918;1983;779;Repas Halal;113;;Repas Standard
1919;3200;907;Repas Halal;109;;Repas Standard
1920;3201;1522;Repas Standard;92;;Repas Standard
1921;3202;1695;Repas Standard;132;;Repas Standard
1922;3203;307;Repas Halal;106;;Repas Standard
1923;3204;1368;Repas Standard;32;;Repas Standard
1924;3205;825;Repas Standard;72;;Repas Standard
1925;3206;1787;Repas Standard;86;;Repas Standard
1926;3207;742;Repas Standard;132;;Repas Standard
1927;3208;1641;Repas Standard;124;;Repas Standard
1928;3209;568;Repas Standard;127;;Repas Standard
1929;3210;589;Repas Standard;132;;Repas Standard
1930;3211;510;Repas Standard;132;;Repas Standard
1931;2637;3094;Repas Sans Porc;129;;Repas Standard
1932;3212;1042;Repas Standard;135;;Repas Standard
1933;3213;1716;Repas Standard;107;;Repas Standard
1934;1504;614;Repas Halal;61;;Repas Standard
1935;3214;626;Repas Halal;25;oui;Repas Standard
1935;3214;999999;Repas Halal;23;;Repas Standard
1936;2537;1018;Repas Halal;8;;Repas Standard
1937;992;355;Repas Halal;108;;Repas Standard
1938;1776;2680;Repas Standard;74;;Repas Standard
1939;3215;1032;Repas Standard;121;;Repas Standard
1940;3216;1274;Repas Sans Porc;10;;Repas Standard
1941;3217;1704;Repas Standard;132;;Repas Standard
1942;1723;688;Repas Standard;136;;Repas Standard
1943;3218;786;Repas Standard;136;;Repas Standard
1944;3219;1231;Repas Végétarien;64;;Repas vgtarien
1945;3220;449;Repas Halal;126;;Repas Standard
1946;3221;1327;Repas Halal;23;oui;Repas Standard
1946;3221;1954;Repas Halal;75;oui;Repas Standard
1946;3221;2073;Repas Halal;27;;Repas Standard
1947;1382;741;Repas Standard;91;;Repas Standard
1948;1938;461;Repas Standard;116;;Repas Standard
1949;3222;573;Repas Standard;131;;Repas Standard
1950;1478;1978;Repas Standard;135;;Repas Standard
1951;1875;1232;Repas Standard;126;;Repas Standard
1952;1032;999999;Repas Standard;136;;Repas Standard
1953;3223;966;Repas Standard;135;;Repas Standard
1954;3224;703;Repas Halal;96;;Repas Standard
1955;3225;459;Repas Halal;45;;Repas Standard
1956;3226;1486;Repas Standard;133;;Repas Standard
1957;3227;169;Repas Standard;127;;Repas Standard
1958;3231;789;Repas Halal;113;;Repas Standard
1959;3170;342;Repas Standard;136;;Repas Standard
1960;3170;342;Repas Standard;136;;Repas Standard
1961;3232;854;Repas Standard;132;;Repas Standard
1962;3233;677;Repas Halal;89;;Repas Standard
1963;3230;450;Repas Halal;5;;Repas Standard
1964;3233;677;Repas Halal;93;;Repas Standard
1965;7839;594;Repas Standard;135;;Repas Standard
1966;3234;3292;Repas Standard;126;;Repas Standard
1967;694;1225;Repas Standard;125;;Repas Standard
1968;3235;44;Repas Halal;115;;Repas Standard
1969;1640;610;Repas Halal;127;;Repas Standard
1970;159;682;Repas Standard;70;;Repas Standard
1971;3236;747;Repas Halal;25;;Repas Standard
1972;3236;747;Repas Halal;26;;Repas Standard
1973;551;1249;Repas Végétarien;134;;Repas vgtarien
1974;3237;614;Repas Standard;136;;Repas Standard
1975;3238;706;Repas Halal;85;;Repas Standard
1976;1217;823;Repas Standard;23;;Repas Standard
1977;3239;623;Repas Standard;61;oui;Repas Standard
1977;3239;933;Repas Standard;68;;Repas Standard
1978;3240;1448;Repas Halal;133;;Repas Standard
1979;3241;1423;Repas Standard;135;;Repas Standard
1980;3242;1930;Repas Standard;123;;Repas Standard
1981;3243;1313;Repas Standard;134;;Repas Standard
1982;3244;688;Repas Standard;132;;Repas Standard
1983;3245;1108;Repas Standard;127;;Repas Standard
1984;3246;1697;Repas Standard;134;;Repas Standard
1985;3248;2185;Repas Standard;99;;Repas Standard
1986;3247;1466;Repas Standard;135;;Repas Standard
1987;3249;999999;Repas Standard;118;;Repas Standard
1988;3250;2387;Repas Sans Porc;67;;Repas Standard
